Sl no,"Part No.
230 volt",Brand,Model,Description,Unit,MRP QAR,MRP AED
1,13360279,RCF,FL-B LINK NXL 24,Accessory to link a second NXL24 to a flying NXL24 (straight or 2 angles),PCS,904,893
1,13360280,RCF,PM-KIT NXL 24,Pole mount accessory for stacking NXL24 on SUB8004 (or M20 pole mount),PCS,409,404
1,13360281,RCF,STCK-KIT NXL 24,Accessory for stacking 2 NXL24 on SUB8006 or 8004 (or M20 pole mount),PCS,904,893
1,13360345,RCF,FL-B NXL 44,Fly bar for NXL44 up to 2 pieces,PCS,1507,1488
1,13360346,RCF,FL-B LINK NXL 44,Accessory to link a second NXL44 to a flying NXL44 (straight or 2 angles),PCS,1453,1435
1,13360347,RCF,STCK-KIT NXL 44,Accessory for stacking 2 NXL44 on SUB8006 or 8004 (or M20 pole mount),PCS,1776,1754
1,13360167,RCF,CVR NX10-SMA,Cover for NX 10 SMA,PCS,366,361
1,13360168,RCF,CVR NX12-SMA,Cover for NX 12 SMA,PCS,387,383
1,13360174,RCF,CVR NX15-SMA,Cover for NX 15 SMA,PCS,409,404
1,13360612,RCF,CVR 011,Cover for NX 912-SMA,PCS,441,436
1,13360611,RCF,CVR 010,Cover for NX 915-SMA,PCS,474,468
1,13360517,RCF,CVR NX 985,Cover for NX 985,PCS,796,787
1,13360528,RCF,CVR 005,Cover for SUB 702-AS MK3,PCS,527,521
