,,,RCF & TT Audio Price List Feb 2025,,
,Part No.230,Model,Description,MRP QAR,MRP AED
1,13360410,SWM-BR VSA II,Swivel bracket for VSA II,969,957
1,13100053,VSA 2050 II B,"20 x 3,5"" speakers, 96 dB Max SPL, RDNet, Black",29812,29449
1,13100055,VSA 1250 II B,"12 x 3,5"" speakers, 94 dB Max SPL, RDNet, Black",23139,22857
1,13100057,VSA 850 II B,"8 x 3,5"" speakers, 93 dB Max SPL, RDNet, Black",19265,19030
1,13360442,SWM-BR VSA II BLACK,Swivel bracket for VSA II Black,969,957
1,13360330,VSA SMART RC,Smartphone remote control for VSA,1044,1031
1,13360318,TA1000 VSA,100V to 0dB trasformer adapter for VSA,312,308
1,13100024,VSA 2050 CUST MKII,"20 x 3,5"" speakers, 96 dB Max SPL, RDNet",35732,35296
1,13100027,VSA 1250 CUST MKII,"12 x 3,5"" speakers, 94 dB Max SPL, RDNet",27875,27535
1,13100030,VSA 850 CUST MKII,"8 x 3,5"" speakers, 93 dB Max SPL, RDNet",23139,22857
1,12100026,DMA 82,Digital Mixer Amplifier 2 x 80Wrms,3390,3349
1,12100027,DMA 162,Digital Mixer Amplifier 2 x 160Wrms,3821,3774
1,12100028,DMA 162P,Digital Power Amplifier 320Wrms,2906,2870
1,12100035,DMA 504,Digital Mixer Amplifier 4 x 500 Wrms,9686,9568
1,12399068,TRF-KIT DMA 82,2x 80 W / 100 V Transformer Kit,1722,1701
1,12399069,TRF-KIT DMA 162,2x 160 W / 100 V Transformer Kit,2099,2073
1,12399065,BT BOARD DMA,DMA amplifiers bluethooth card,646,638
1,13360426,RM-KIT DMA,Rack mount kit for DMA,97,96
1,14322031,BM 404,Desktop paging console,1507,1488
1,12399051,RC 401 EU B,"Wall mount remote control, compatible with EU standard box, Black",312,308
1,12399052,RC 401 EU W,"Wall mount remote control, compatible with EU standard box, White",312,308
